event_id,instance_id,detected_at,if_score,lstm_error,ensemble_score,severity,alert_sent,notes
105,my-windows-pc,2026-05-09 22:48:48.579427+05:30,0.2415,1,0.6966,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:18:48.472151+00:00
106,my-windows-pc,2026-05-09 22:49:19.395754+05:30,0.1696,1,0.6679,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:19:19.247339+00:00
107,my-windows-pc,2026-05-09 22:49:50.271795+05:30,0.2621,1,0.7049,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:19:50.174207+00:00
108,my-windows-pc,2026-05-09 22:50:21.098882+05:30,0.1765,1,0.6706,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:20:20.979765+00:00
109,my-windows-pc,2026-05-09 22:50:51.731886+05:30,0.2561,1,0.7024,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:20:51.639296+00:00
110,my-windows-pc,2026-05-09 22:51:22.488726+05:30,0.4854,1,0.7941,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:21:22.352044+00:00
111,my-windows-pc,2026-05-09 22:51:53.192264+05:30,0.3035,1,0.7214,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:21:53.089927+00:00
112,my-windows-pc,2026-05-09 22:52:23.911648+05:30,0.2459,1,0.6984,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:22:23.703649+00:00
113,my-windows-pc,2026-05-09 22:52:54.576613+05:30,0.4291,1,0.7716,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:22:54.473849+00:00
114,my-windows-pc,2026-05-09 22:54:27.452344+05:30,0.5293,1,0.8117,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:24:27.365975+00:00
115,my-windows-pc,2026-05-09 22:54:58.166962+05:30,0.4045,1,0.7618,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:24:58.082648+00:00
116,my-windows-pc,2026-05-09 22:55:59.669995+05:30,0.1887,1,0.6755,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:25:59.572655+00:00
117,my-windows-pc,2026-05-09 22:57:06.186423+05:30,0.1771,1,0.6709,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:27:06.018252+00:00
118,my-windows-pc,2026-05-09 22:57:37.22586+05:30,0.445,1,0.778,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:27:37.113562+00:00
119,my-windows-pc,2026-05-09 22:58:07.928222+05:30,0.224,1,0.6896,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:28:07.811686+00:00
120,my-windows-pc,2026-05-09 22:59:09.440914+05:30,0.3547,1,0.7419,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:29:09.336226+00:00
121,my-windows-pc,2026-05-09 22:59:40.228053+05:30,0.3231,1,0.7292,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:29:40.134862+00:00
122,my-windows-pc,2026-05-09 23:00:12.084988+05:30,0.747,1,0.8988,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:30:11.786304+00:00
123,my-windows-pc,2026-05-09 23:00:43.057701+05:30,0.8028,1,0.9211,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:30:42.947582+00:00
124,my-windows-pc,2026-05-09 23:01:21.112196+05:30,0.8028,1,0.9211,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:31:20.649197+00:00
125,my-windows-pc,2026-05-09 23:01:55.061331+05:30,0.6683,1,0.8673,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:31:54.247131+00:00
126,my-windows-pc,2026-05-09 23:02:42.525918+05:30,0.842,1,0.9368,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:32:41.209466+00:00
127,my-windows-pc,2026-05-09 23:03:13.809135+05:30,0.863,1,0.9452,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:33:13.673520+00:00
128,my-windows-pc,2026-05-09 23:03:45.170816+05:30,0.8161,1,0.9264,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:33:44.986927+00:00
129,my-windows-pc,2026-05-09 23:04:17.799141+05:30,0.8202,1,0.9281,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:34:17.613668+00:00
130,my-windows-pc,2026-05-09 23:04:55.05342+05:30,0.7657,1,0.9063,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:34:53.991484+00:00
131,my-windows-pc,2026-05-09 23:05:27.401508+05:30,0.7437,1,0.8975,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:35:27.288200+00:00
