metric_id,instance_id,timestamp,cpu_percent,mem_percent,disk_read_mb,disk_write_mb,net_recv_kb,net_sent_kb
173,my-windows-pc,2026-05-09 17:28:29.392182+05:30,27.3,75.5,0.0655,0.3696,0.1985,0.1627
174,my-windows-pc,2026-05-09 17:28:59.52908+05:30,36.5,76.5,0.1125,0.4411,5.5452,0.7368
175,my-windows-pc,2026-05-09 17:29:29.670457+05:30,25.8,75.9,0.0457,0.0381,0.7684,1.2627
176,my-windows-pc,2026-05-09 17:29:59.81374+05:30,31.2,76.6,0.0714,0.3853,2.6428,0.6759
177,my-windows-pc,2026-05-09 17:30:29.95009+05:30,25.9,76.3,0.0058,0.3805,0.0597,0.2859
178,my-windows-pc,2026-05-09 17:31:00.102792+05:30,25.2,76.5,0.3785,0.3871,0.0906,0.1695
179,my-windows-pc,2026-05-09 17:31:30.215484+05:30,14.9,76.9,0.1914,0.3851,0.3766,0.089
180,my-windows-pc,2026-05-09 17:32:00.322889+05:30,17.4,76.8,0.1721,0.3938,0.1523,0.4577
181,my-windows-pc,2026-05-09 17:32:30.465686+05:30,9.9,75.4,0.0101,0.3641,0.0204,0.0108
182,my-windows-pc,2026-05-09 17:33:00.598136+05:30,17,76,0.0302,0.3863,0.0861,0.2085
183,my-windows-pc,2026-05-09 17:33:30.835347+05:30,12.8,74.7,0.0397,0.4065,0.0808,0.32
184,my-windows-pc,2026-05-09 17:34:00.959106+05:30,16.7,75.3,0.0439,0.3836,0.5913,0.3167
185,my-windows-pc,2026-05-09 17:34:31.084384+05:30,13.6,75.5,0.0698,0.3604,0.042,0.0566
186,my-windows-pc,2026-05-09 17:35:01.196383+05:30,35.9,75.7,0.3041,4.6685,4.3498,0.6919
187,my-windows-pc,2026-05-09 17:35:31.322956+05:30,30,75.5,0.0193,0.3879,0.069,0.0633
188,my-windows-pc,2026-05-09 17:36:01.468391+05:30,49.9,77.6,0.3733,0.454,5.2414,0.8351
189,my-windows-pc,2026-05-09 17:36:31.597361+05:30,80.9,79.1,0.5198,0.8891,8.6319,1.0036
190,my-windows-pc,2026-05-09 17:37:01.758418+05:30,75.7,84.2,0.2304,0.6793,5.0511,0.8261
191,my-windows-pc,2026-05-09 17:37:31.901921+05:30,76.4,79.9,0.1993,1.5376,5.4025,0.5877
192,my-windows-pc,2026-05-09 17:38:02.056637+05:30,75.8,82.4,0.1253,2.2452,5.2574,0.7194
193,my-windows-pc,2026-05-09 17:38:32.219251+05:30,85.6,89.8,3.8752,0.4554,2.4163,3.0328
194,my-windows-pc,2026-05-09 17:39:02.521832+05:30,79.3,87.7,0.35,2.9608,0.4577,0.4932
195,my-windows-pc,2026-05-09 17:39:32.679935+05:30,80.4,87.4,0.6502,0.761,3.9653,0.4842
196,my-windows-pc,2026-05-09 17:40:02.960441+05:30,89.7,90,12.5031,2.7615,0.3015,0.4352
197,my-windows-pc,2026-05-09 17:40:34.139475+05:30,97.9,92.7,27.7119,3.2619,0.165,0.2841
198,my-windows-pc,2026-05-09 17:41:04.844783+05:30,92,91.6,15.8387,6.7034,0.5401,0.5572
199,my-windows-pc,2026-05-09 17:41:35.355859+05:30,95.8,90.5,20.2275,4.7902,5.5216,1.3375
200,my-windows-pc,2026-05-09 17:42:05.932197+05:30,92.7,85.4,6.9326,8.8051,0.2914,0.0451
201,my-windows-pc,2026-05-09 17:42:36.891981+05:30,88.7,88.7,3.9758,4.7252,0.3195,0.17
202,my-windows-pc,2026-05-09 17:43:07.1056+05:30,83.5,83,2.7917,2.4843,0.2396,0.2719
203,my-windows-pc,2026-05-09 17:43:37.242478+05:30,69.7,71.9,1.5229,0.3932,0.131,0.3885
204,my-windows-pc,2026-05-09 17:44:07.357523+05:30,70.1,76.2,1.7738,0.5485,5.9476,1.1757
205,my-windows-pc,2026-05-09 17:44:37.597511+05:30,25.5,69.2,0.4366,0.4537,2.9614,0.3706
206,my-windows-pc,2026-05-09 17:45:07.741568+05:30,63.3,77,1.6219,0.5255,0.9575,1.7122
207,my-windows-pc,2026-05-09 17:45:37.890002+05:30,71.2,76.1,0.0892,0.4056,5.0416,0.3195
208,my-windows-pc,2026-05-09 17:46:08.043416+05:30,81.2,83.4,4.7418,1.7335,12.7458,3.4646
209,my-windows-pc,2026-05-09 17:46:38.242425+05:30,77.5,84.7,2.8017,1.5346,0.1121,0.3911
210,my-windows-pc,2026-05-09 17:47:09.934818+05:30,83.1,82.4,6.2708,1.8897,0.0531,0.2777
211,my-windows-pc,2026-05-09 17:47:40.097108+05:30,85.2,83.4,5.1521,4.0011,0.4858,0.4867
212,my-windows-pc,2026-05-09 17:48:10.226311+05:30,69.3,84.8,1.4803,0.4035,0.1488,0.3129
213,my-windows-pc,2026-05-09 17:48:40.35142+05:30,71.7,85.8,0.2383,0.3779,0.0989,0.1642
214,my-windows-pc,2026-05-09 17:49:10.50154+05:30,72.7,84.7,0.8135,0.4351,1.4883,0.4319
215,my-windows-pc,2026-05-09 17:49:40.641726+05:30,76,85.8,3.3598,2.3026,6.4443,0.5897
216,my-windows-pc,2026-05-09 17:50:10.796065+05:30,79,89,2.2313,0.466,1.6691,0.6517
217,my-windows-pc,2026-05-09 17:50:40.938806+05:30,80.7,88.9,0.8149,0.4377,0.4827,0.4721
218,my-windows-pc,2026-05-09 17:51:11.110395+05:30,78.2,86.3,0.123,0.0355,0.0613,0.2855
219,my-windows-pc,2026-05-09 17:51:41.240054+05:30,72.7,86.8,0.059,0.3632,0.0796,0.1609
220,my-windows-pc,2026-05-09 17:52:11.362986+05:30,72.4,83.7,0.6621,0.3802,0.1147,0.3261
221,my-windows-pc,2026-05-09 17:52:41.518426+05:30,72.6,83.4,0.0852,0.3757,0.1109,0.3925
222,my-windows-pc,2026-05-09 17:53:11.676102+05:30,73.7,83.9,0.1531,0.3677,0.1588,0.3593
223,my-windows-pc,2026-05-09 17:53:41.902142+05:30,73.5,83.4,1.776,0.3636,0.1007,0.3877
224,my-windows-pc,2026-05-09 17:54:12.085349+05:30,79.5,83,2.0035,2.6531,4.3075,0.8802
225,my-windows-pc,2026-05-09 17:54:42.524052+05:30,71.7,84.1,1.6241,0.408,3.5644,1.0437
226,my-windows-pc,2026-05-09 17:55:12.727505+05:30,91.7,85.3,3.8623,2.3722,1.658,3.4112
227,my-windows-pc,2026-05-09 17:55:42.864866+05:30,87.6,84.8,0.9514,0.4079,0.5124,0.5719
228,my-windows-pc,2026-05-09 17:56:13.007108+05:30,71.9,85.1,0.3174,0.4482,0.1029,0.3121
229,my-windows-pc,2026-05-09 17:56:43.15867+05:30,75.7,88,4.2307,1.1041,6.9998,2.6275
230,my-windows-pc,2026-05-09 17:57:13.272594+05:30,78.9,82.5,9.1422,6.4745,0.3882,0.168
231,my-windows-pc,2026-05-09 17:57:43.541374+05:30,76,81.9,0.2612,0.4092,0.5337,0.2021
232,my-windows-pc,2026-05-09 17:58:13.683896+05:30,79.4,81.5,0.069,0.0331,0.0802,0.0427
233,my-windows-pc,2026-05-09 17:58:43.836206+05:30,78.5,80.8,0.5244,0.0316,0.3491,0.2122
234,my-windows-pc,2026-05-09 17:59:14.093669+05:30,75.5,78.8,0.2121,0.0368,1.4918,0.1934
235,my-windows-pc,2026-05-09 17:59:44.226596+05:30,77.3,79.6,0.8144,0.3683,3.3442,1.1386
236,my-windows-pc,2026-05-09 18:00:14.409953+05:30,84.2,80.7,20.4605,0.0735,0.4229,0.8325
237,my-windows-pc,2026-05-09 18:00:44.644352+05:30,76,81.1,0.6443,0.1166,0.0722,0.134
238,my-windows-pc,2026-05-09 18:01:14.853492+05:30,78.8,84.2,1.7543,0.0548,1.712,0.5068
239,my-windows-pc,2026-05-09 18:01:45.017763+05:30,84.2,82.9,6.8141,3.4482,0.0954,0.141
240,my-windows-pc,2026-05-09 18:02:15.18411+05:30,79.7,81.3,2.372,2.2103,5.4653,0.9204
